text,href
Download maps,#cdc_data_surveillance_section_13-download-maps
Suggested citation,#cdc_data_surveillance_section_14-suggested-citation
Show More,#
Obesity Among Children in WIC,/obesity/data-and-statistics/facts-about-obesity-among-young-children-enrolled-in-wic.html
Surveillance Systems,/obesity/data-and-statistics/surveillance-systems.html
Obesity and COVID-19,/obesity/data-and-statistics/covid-19.html
View AllObesity,/obesity/index.html
Sources,#content-sources
Print,#print
Share,#share
,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.cdc.gov%2Fobesity%2Fdata-and-statistics%2Fadult-obesity-prevalence-maps.html
,https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.cdc.gov%2Fobesity%2Fdata-and-statistics%2Fadult-obesity-prevalence-maps.html&title=Adult%20Obesity%20Prevalence%20Maps
,http://twitter.com/share?url=https%3A%2F%2Fwww.cdc.gov%2Fobesity%2Fdata-and-statistics%2Fadult-obesity-prevalence-maps.html&text=Adult%20Obesity%20Prevalence%20Maps
,#
Facebook,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.cdc.gov%2Fobesity%2Fdata-and-statistics%2Fadult-obesity-prevalence-maps.html
LinkedIn,https://www.linkedin.com/shareArticle?url=https%3A%2F%2Fwww.cdc.gov%2Fobesity%2Fdata-and-statistics%2Fadult-obesity-prevalence-maps.html&title=Adult%20Obesity%20Prevalence%20Maps
Twitter,http://twitter.com/share?url=https%3A%2F%2Fwww.cdc.gov%2Fobesity%2Fdata-and-statistics%2Fadult-obesity-prevalence-maps.html&text=Adult%20Obesity%20Prevalence%20Maps
Syndicate,https://tools.cdc.gov/medialibrary/index.aspx#/sharecontent/https://https://www.cdc.gov/obesity/data-and-statistics/adult-obesity-prevalence-maps.html
National Center for Chronic Disease Prevention and Health Promotion (NCCDPHP),/nccdphp/index.html
Obesity Among Children in WIC,/obesity/data-and-statistics/facts-about-obesity-among-young-children-enrolled-in-wic.html
Surveillance Systems,/obesity/data-and-statistics/surveillance-systems.html
Obesity and COVID-19,/obesity/data-and-statistics/covid-19.html
View AllObesity,/obesity/index.html
Obesity,/obesity/index.html
View All,/obesity/site.html
For Everyone,/obesity/index.html#gen
About Obesity,/obesity/php/about/index.html
Risk Factors for Obesity,/obesity/risk-factors/risk-factors.html
What Can Be Done,/obesity/strategies/obesity-strategies-what-can-be-done.html
Obesity Data and Statistics,/obesity/data-and-statistics/index.html
Health Care Providers,/obesity/site.html#hcp
Health Care Strategies,/obesity/hcp/obesity-strategies/index.html
Screening for Child Obesity,/obesity/child-obesity-screening/index.html
Evaluation and Treatment,/obesity/child-obesity-strategies/evaluation-and-treatment.html
Sign up for Email Updates,https://tools.cdc.gov/campaignproxyservice/subscriptions.aspx?topic_id=USCDC_1296
Contact Us,#contactUs
Contact Us,https://www.cdc.gov/cdc-info/index.html
Call 800-232-4636,tel:800-232-4636
Contact CDC,https://www.cdc.gov/cdc-info/index.html
About CDC,#aboutCDC
About CDC,/about/
Pressroom,/media/
Organization,/about/organization/
Budget & Funding,https://www.cdc.gov/budget/
Careers & Jobs,https://jobs.cdc.gov/index.html
Policies,#policies
Accessibility,https://www.cdc.gov/other/accessibility.html
External Links,https://www.cdc.gov/Other/disclaimer.html#exit-notification
Privacy,https://www.cdc.gov/other/privacy.html
Web Policies,https://www.cdc.gov/Other/policies.html
FOIA,https://www.cdc.gov/foia/
OIG,https://oig.hhs.gov/
No Fear Act,https://www.cdc.gov/oeeowe/no-fear-act/
Nondiscrimination,https://www.cdc.gov/other/nondiscrimination.html
Vulnerability Disclosure Policy,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
Languages,#languages
Languages,https://wwwn.cdc.gov/pubs/other-languages?Sort=Lang%3A%3Aasc
Español,https://www.cdc.gov/spanish/
Language Assistance,https://www.cdc.gov/other/language-assistance.html
Español,https://www.cdc.gov/other/language-assistance.html#Spanish
繁體中文,https://www.cdc.gov/other/language-assistance.html#Chinese
Tiếng Việt,https://www.cdc.gov/other/language-assistance.html#Vietnamese
한국어,https://www.cdc.gov/other/language-assistance.html#Korean
Tagalog,https://www.cdc.gov/other/language-assistance.html#Tagalog
Русский,https://www.cdc.gov/other/language-assistance.html#Russian
العربية,https://www.cdc.gov/other/language-assistance.html#Arabic
Kreyòl Ayisyen,https://www.cdc.gov/other/language-assistance.html#Haitian
Français,https://www.cdc.gov/other/language-assistance.html#French
Polski,https://www.cdc.gov/other/language-assistance.html#Polish
Português,https://www.cdc.gov/other/language-assistance.html#Portuguese
Italiano,https://www.cdc.gov/other/language-assistance.html#Italian
Deutsch,https://www.cdc.gov/other/language-assistance.html#German
日本語,https://www.cdc.gov/other/language-assistance.html#Japanese
فارسی,https://www.cdc.gov/other/language-assistance.html#Farsi
English,https://www.cdc.gov/other/language-assistance.html#English
Archive,#archive
CDC Archive,https://archive.cdc.gov/
Public Health Publications,https://stacks.cdc.gov/
Contact Us,#mobile-footer-contactUs
Contact Us,https://www.cdc.gov/cdc-info/index.html
Call 800-232-4636,tel:800-232-4636
Contact CDC,https://www.cdc.gov/cdc-info/index.html
About CDC,#mobile-footer-aboutCDC
Pressroom,/media/
Organization,/about/organization/
Budget & Funding,https://www.cdc.gov/budget/
Careers & Jobs,https://jobs.cdc.gov/index.html
About CDC,/about/
Policies,#mobile-footer-policies
Accessibility,https://www.cdc.gov/other/accessibility.html
External Links,https://www.cdc.gov/Other/disclaimer.html#exit-notification
Privacy,https://www.cdc.gov/other/privacy.html
Web Policies,https://www.cdc.gov/Other/policies.html
FOIA,https://www.cdc.gov/foia/
OIG,https://oig.hhs.gov/
No Fear Act,https://www.cdc.gov/oeeowe/no-fear-act/
Nondiscrimination,https://www.cdc.gov/other/nondiscrimination.html
Vulnerability Disclosure Policy,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
Languages,#mobile-footer-languages
Español,https://www.cdc.gov/spanish/
Español,https://www.cdc.gov/other/language-assistance.html#Spanish
繁體中文,https://www.cdc.gov/other/language-assistance.html#Chinese
Tiếng Việt,https://www.cdc.gov/other/language-assistance.html#Vietnamese
한국어,https://www.cdc.gov/other/language-assistance.html#Korean
Tagalog,https://www.cdc.gov/other/language-assistance.html#Tagalog
Русский,https://www.cdc.gov/other/language-assistance.html#Russian
العربية,https://www.cdc.gov/other/language-assistance.html#Arabic
Kreyòl Ayisyen,https://www.cdc.gov/other/language-assistance.html#Haitian
Français,https://www.cdc.gov/other/language-assistance.html#French
Polski,https://www.cdc.gov/other/language-assistance.html#Polish
Português,https://www.cdc.gov/other/language-assistance.html#Portuguese
Italiano,https://www.cdc.gov/other/language-assistance.html#Italian
Deutsch,https://www.cdc.gov/other/language-assistance.html#German
日本語,https://www.cdc.gov/other/language-assistance.html#Japanese
فارسی,https://www.cdc.gov/other/language-assistance.html#Farsi
English,https://www.cdc.gov/other/language-assistance.html#English
Archive,#mobile-footer-archive
CDC Archive,https://archive.cdc.gov/
Public Health Publications,https://stacks.cdc.gov/
,/
,https://www.facebook.com/CDC
,https://twitter.com/CDCgov
,https://www.instagram.com/CDCgov
,https://www.linkedin.com/company/centers-for-disease-control-and-prevention
,https://www.youtube.com/cdc
,https://www.pinterest.com/cdcgov
,https://www.snapchat.com/add/cdcgov
,https://www.cdc.gov/rss
HHS.gov,https://hhs.gov
USA.gov,https://usa.gov
,#
